product_sku,product_name,brand,category,subcategory,unit_cost,recommended_price,weight_kg,dimensions,origin_country,supplier_code,quality_rating
SKU-LAPTOP-001,Gaming Laptop Pro,TechBrand,Electronics,Computers,899.99,1299.99,2.8,"38x26x3 cm",Taiwan,TECH-001,A+
SKU-PHONE-002,Smartphone Ultra,MobileCorp,Electronics,Mobile,399.99,699.99,0.2,"16x8x1 cm",Korea,TECH-001,A
SKU-CHAIR-003,Ergonomic Office Chair,ComfortSeats,Furniture,Office,149.99,249.99,18.5,"65x65x120 cm",Sweden,FURN-004,A+
SKU-COFFEE-004,Professional Coffee Machine,BrewMaster,Appliances,Kitchen,59.99,89.99,4.2,"25x35x40 cm",Italy,APPL-005,A
SKU-SHOES-005,Running Shoes Pro,SportsFeet,Sports,Footwear,49.99,129.99,0.8,"32x22x12 cm",Vietnam,SPORT-002,B+
SKU-MONITOR-006,4K Gaming Monitor,ScreenTech,Electronics,Displays,399.99,599.99,9.2,"72x43x25 cm",China,TECH-001,A
SKU-KEYBOARD-007,Mechanical Keyboard RGB,KeyMaster,Electronics,Peripherals,49.99,79.99,1.3,"44x16x4 cm",Germany,TECH-001,A+
SKU-DESK-008,Standing Desk Electric,DeskPro,Furniture,Office,249.99,399.99,28.0,"120x70x75 cm",Denmark,FURN-004,A
SKU-YOGA-009,Premium Yoga Mat,ZenFit,Sports,Fitness,19.99,29.99,1.2,"185x65x1 cm",India,SPORT-002,A
SKU-WATCH-010,Smart Fitness Watch,WearTech,Electronics,Wearables,149.99,249.99,0.08,"4.5x4x1 cm",China,TECH-003,A-
SKU-SHELF-011,Wooden Bookshelf 5-Tier,WoodCraft,Furniture,Storage,99.99,149.99,22.0,"80x30x180 cm",Finland,FURN-004,B+
SKU-BLENDER-012,High-Speed Blender,KitchenPro,Appliances,Kitchen,59.99,89.99,5.1,"20x20x42 cm",USA,APPL-005,A
SKU-BIKE-013,Mountain Bike 21-Speed,CycleMaster,Sports,Cycling,499.99,799.99,16.5,"180x65x110 cm",Taiwan,SPORT-002,A+
SKU-TABLET-014,Tablet Pro 12 inch,TechBrand,Electronics,Tablets,299.99,499.99,0.6,"28x20x1 cm",Korea,TECH-001,A
SKU-LAMP-015,LED Desk Lamp Smart,LightTech,Electronics,Lighting,29.99,49.99,1.2,"15x15x45 cm",Japan,TECH-003,A
