transaction_id,customer_id,transaction_date,transaction_type,amount,currency,payment_method,transaction_status,merchant_category
TXN-2025-001,1001,2025-01-15,purchase,299.99,USD,credit_card,completed,electronics
TXN-2025-002,1002,2025-01-16,purchase,149.50,USD,debit_card,completed,clothing
TXN-2025-003,1004,2025-01-17,purchase,599.99,GBP,paypal,completed,electronics
TXN-2025-004,1005,2025-01-18,refund,-49.99,EUR,credit_card,completed,books
TXN-2025-005,1006,2025-01-19,purchase,199.99,EUR,bank_transfer,pending,furniture
TXN-2025-006,1001,2025-01-20,purchase,89.99,USD,credit_card,completed,appliances
TXN-2025-007,1008,2025-01-21,purchase,349.99,EUR,credit_card,completed,sports
TXN-2025-008,1010,2025-01-22,purchase,799.99,EUR,ideal,completed,electronics
TXN-2025-009,1003,2025-01-23,purchase,79.99,USD,cash,completed,books
TXN-2025-010,1012,2025-01-24,purchase,159.99,EUR,credit_card,failed,clothing
TXN-2025-011,1009,2025-01-25,purchase,249.99,SEK,swish,completed,sports
TXN-2025-012,1014,2025-01-26,purchase,399.99,CZK,card,completed,furniture
TXN-2025-013,1007,2025-01-27,purchase,129.99,EUR,credit_card,completed,appliances
TXN-2025-014,1013,2025-01-28,purchase,449.99,EUR,bank_transfer,completed,electronics
TXN-2025-015,1015,2025-01-29,purchase,99.99,EUR,multibanco,completed,books
TXN-2025-016,1004,2025-01-30,purchase,1299.99,GBP,credit_card,completed,electronics
TXN-2025-017,1005,2025-02-01,purchase,199.99,EUR,paypal,completed,clothing
TXN-2025-018,1001,2025-02-02,purchase,549.99,USD,credit_card,completed,furniture
TXN-2025-019,1011,2025-02-03,purchase,89.99,CHF,twint,completed,appliances
TXN-2025-020,1006,2025-02-04,purchase,299.99,EUR,sofort,completed,sports
